Exercise,e,r,s,w,Percentage of Max,Core
Barbell Squat,1,5,1,1,65%,Squat
Barbell Squat,1,5,2,1,70%,Squat
Barbell Squat,1,10,3,1,80%,Squat
Barbell Squat,1,3,1,2,67.5%,Squat
Barbell Squat,1,3,2,2,72.5%,Squat
Barbell Squat,1,8,3,2,82.5%,Squat
Barbell Squat,1,5,1,3,70%,Squat
Barbell Squat,1,3,2,3,75%,Squat
Barbell Squat,1,7,3,3,85%,Squat
High-Hang Pull,4,5,1,1,70%,Clean
High-Hang Pull,4,4,1,2,77%,Clean
High-Hang Pull,4,3,1,3,84.7%,Clean
Box Bench,6,5,1,1,68.25%,Bench
Box Bench,6,5,2,1,73.5%,Bench
Box Bench,6,10,3,1,84%,Bench
Box Bench,6,3,1,2,70.87%,Bench
Box Bench,6,3,2,2,76.12%,Bench
Box Bench,6,8,3,2,86.62%,Bench
Box Bench,6,5,1,3,73.5%,Bench
Box Bench,6,3,2,3,78.75%,Bench
Box Bench,6,7,3,3,89.25%,Bench
Bar RDL,12,5,1,1,25%,Deadlift
Bar RDL,12,6,1,2,25%,Deadlift
Bar RDL,12,7,1,3,25%,Deadlift
Bench,7,5,1,1,65%,Bench
Bench,7,5,2,1,70%,Bench
Bench,7,10,3,1,80%,Bench
Bench,7,3,1,2,67.5%,Bench
Bench,7,3,2,2,72.5%,Bench
Bench,7,8,3,2,82.5%,Bench
Bench,7,5,1,3,70%,Bench
Bench,7,3,2,3,75%,Bench
Bench,7,7,3,3,85%,Bench
Hex-Bar Jump,13,3,1,1,40%,Deadlift
Hex-Bar Jump,13,4,1,2,40%,Deadlift
Hex-Bar Jump,13,5,1,3,40%,Deadlift
Barbell Front Squat,2,5,1,1,32.5%,Squat
Barbell Front Squat,2,5,2,1,35%,Squat
Barbell Front Squat,2,10,3,1,40%,Squat
Barbell Front Squat,2,3,1,2,33.75%,Squat
Barbell Front Squat,2,3,2,2,36.25%,Squat
Barbell Front Squat,2,8,3,2,41.25%,Squat
Barbell Front Squat,2,5,1,3,35%,Squat
Barbell Front Squat,2,3,2,3,37.5%,Squat
Barbell Front Squat,2,7,3,3,42.5%,Squat
1-Arm DB Row,8,5,1,1,13.75%,Bench
1-Arm DB Row,8,6,1,2,13.75%,Bench
1-Arm DB Row,8,7,1,3,13.75%,Bench
Clean,5,5,1,1,65%,Clean
Clean,5,5,2,1,70%,Clean
Clean,5,6,3,1,87.5%,Clean
Clean,5,3,1,2,67.5%,Clean
Clean,5,3,2,2,72.5%,Clean
Clean,5,4,3,2,90%,Clean
Clean,5,5,1,3,70%,Clean
Clean,5,3,2,3,75%,Clean
Clean,5,3,3,3,92.5%,Clean
Barbell Push Press,9,5,1,1,40.62%,Bench
Barbell Push Press,9,5,2,1,43.75%,Bench
Barbell Push Press,9,10,3,1,50%,Bench
Barbell Push Press,9,3,1,2,42.18%,Bench
Barbell Push Press,9,3,2,2,45.31%,Bench
Barbell Push Press,9,8,3,2,51.56%,Bench
Barbell Push Press,9,5,1,3,43.75%,Bench
Barbell Push Press,9,3,2,3,48.75%,Bench
Barbell Push Press,9,7,3,3,53.12%,Bench
DB Reverse Lunge Step-up,3,3,1,1,7.5%,Squat
DB Reverse Lunge Step-up,3,4,1,2,7.5%,Squat
DB Reverse Lunge Step-up,3,5,1,3,7.5%,Squat
Chest-Supported DB Row,10,5,1,1,12.5%,Bench
Chest-Supported DB Row,10,6,1,2,12.5%,Bench
Chest-Supported DB Row,10,7,1,3,12.5%,Bench
Hex-Bar Deadlift,14,5,1,1,65%,Deadlift
Hex-Bar Deadlift,14,5,2,1,70%,Deadlift
Hex-Bar Deadlift,14,10,3,1,80%,Deadlift
Hex-Bar Deadlift,14,3,1,2,67.5%,Deadlift
Hex-Bar Deadlift,14,3,2,2,72.5%,Deadlift
Hex-Bar Deadlift,14,8,3,2,82.5%,Deadlift
Hex-Bar Deadlift,14,5,1,3,70%,Deadlift
Hex-Bar Deadlift,14,3,2,3,75%,Deadlift
Hex-Bar Deadlift,14,7,3,3,85%,Deadlift
3-Way DB Shoulder Raise,11,7,1,1,12.5%,Bench
3-Way DB Shoulder Raise,11,8,1,2,12.5%,Bench
3-Way DB Shoulder Raise,11,10,1,3,12.5%,Bench